seed,strategy,avg_latency_ms_per_frame,avg_weighted_quality,latency_budget_ms,budget_violations
100,Uniform feasible (fast),72.00,0.60,160.00,0
100,Top-K accurate,146.00,0.72,160.00,0
100,Greedy budget,152.40,0.80,160.00,0
100,Random budgeted,152.00,0.78,160.00,0
100,Spatial DSL,130.78,0.74,160.00,0
250,Uniform feasible (fast),72.00,0.60,160.00,0
250,Top-K accurate,146.00,0.72,160.00,0
250,Greedy budget,152.90,0.80,160.00,0
250,Random budgeted,152.00,0.78,160.00,0
250,Spatial DSL,130.37,0.74,160.00,0
500,Uniform feasible (fast),72.00,0.60,160.00,0
500,Top-K accurate,146.00,0.72,160.00,0
500,Greedy budget,152.60,0.80,160.00,0
500,Random budgeted,152.00,0.78,160.00,0
500,Spatial DSL,128.14,0.74,160.00,0
790,Uniform feasible (fast),72.00,0.60,160.00,0
790,Top-K accurate,146.00,0.72,160.00,0
790,Greedy budget,153.15,0.80,160.00,0
790,Random budgeted,152.00,0.78,160.00,0
790,Spatial DSL,129.13,0.74,160.00,0
1000,Uniform feasible (fast),72.00,0.60,160.00,0
1000,Top-K accurate,146.00,0.72,160.00,0
1000,Greedy budget,153.42,0.80,160.00,0
1000,Random budgeted,152.00,0.78,160.00,0
1000,Spatial DSL,130.61,0.74,160.00,0
